,Date,Open,High,Low,Close,Volume,Market Cap
0,2019-11-22,0.9973583008,1.0265481268,0.9721642831,0.9925979113,2104540.8372735,0.0
1,2019-11-23,0.9921835652,1.0287471894,0.9883408904,1.0162822351,311283.081378368,0.0
2,2019-11-24,1.0162882225,1.0351357077,0.9956091626,1.0022701008,255060.084563908,0.0
3,2019-11-25,1.0012892841,1.0347078354,0.9848050747,1.0070214472,958777.171159517,0.0
4,2019-11-26,1.0072080774,1.0314280582,0.9917667394,1.0060959036,217384.773913198,0.0
5,2019-11-27,1.0049641168,1.0289869239,0.9844153214,0.9970338111,478836.243647745,0.0
6,2019-11-28,0.9998679643,1.0175693783,0.9923338862,1.004738072,1295173.55030746,0.0
7,2019-11-29,1.0049776009,1.0081542053,0.9934729033,1.0047594318,1517444.25161586,0.0
8,2019-11-30,1.0047594318,1.0157644507,1.0002300775,1.0052275661,1099786.58010611,0.0
9,2019-12-01,1.0045597973,1.0223201079,0.9954825534,1.0010404802,1383114.27274324,0.0
10,2019-12-02,1.0021830291,1.0193778756,0.9933970747,0.9979161422,1652541.8128465,0.0
11,2019-12-03,0.9979161422,1.0115974751,0.9912958197,1.0039190978,1436266.72318161,0.0
12,2019-12-04,1.0036349642,1.0142566849,0.9847916865,1.0044496266,2308280.27908608,0.0
13,2019-12-05,1.0049939163,1.0334860053,0.9973675745,1.0082051015,1399150.12615126,0.0
14,2019-12-06,1.008434794,1.0120198118,0.9999863061,1.0019046287,2479271.61789441,0.0
15,2019-12-07,1.0015264047,1.0078749008,0.998785186,1.0057849898,1931385.50665093,0.0
16,2019-12-08,1.0057849898,1.0127453137,1.0000454217,1.0036608659,4015579.08187227,0.0
17,2019-12-09,1.0036608659,1.0110191823,0.9963635288,1.0064355858,2776887.22485045,0.0
18,2019-12-10,1.006129561,1.0090762683,1.0011600994,1.0038505398,2237471.05208452,0.0
19,2019-12-11,1.0037328472,1.0138019503,1.0020817259,1.0030299527,2841475.47292667,0.0
20,2019-12-12,1.0031363175,1.010459744,0.9964987478,1.0054555724,2372303.2696215,0.0
21,2019-12-13,1.0058644794,1.0077758976,0.9995196876,1.0038538148,2211491.86853689,0.0
22,2019-12-14,1.0032825453,1.0097568672,1.0014761326,1.0075943955,1645618.5194292,0.0
23,2019-12-15,1.0075943955,1.0101314961,0.98159373,1.0032213136,1505775.03431593,0.0
24,2019-12-16,1.0032213136,1.0227218637,0.9991055741,1.0062221564,3403102.20845897,0.0
25,2019-12-17,1.0062221564,1.0210921592,0.9998558013,1.000816022,5002588.71213962,0.0
26,2019-12-18,1.0023377066,1.0256612068,0.9939783782,1.0019630487,5256853.89805266,0.0
27,2019-12-19,1.0025517142,1.0199483277,0.9977541126,1.0075665156,2055299.07011362,0.0
28,2019-12-20,1.0075665156,1.0102991882,0.9962138408,1.0038553452,1686796.24417303,0.0
29,2019-12-21,1.0039897506,1.0095876493,1.001518035,1.0050117734,1342908.15192312,0.0
30,2019-12-22,1.0052584935,1.0068582966,0.9975018922,0.999937035,1591895.0899962,0.0
31,2019-12-23,0.999937035,1.0089406108,0.9942255176,0.9973078917,3625855.0909183,0.0
32,2019-12-24,0.9968134659,1.0206660729,0.9942839881,1.0101815149,3862385.29691971,0.0
33,2019-12-25,1.0101815149,1.0181532672,1.0020050217,1.0106405864,1790486.84500516,0.0
34,2019-12-26,1.0106405864,1.0136426215,0.9948204381,1.0043796425,2858957.75312689,0.0
35,2019-12-27,1.0047243319,1.0214214026,0.9968969472,1.0082691843,2522002.19602606,0.0
36,2019-12-28,1.0082691843,1.0175101489,1.0056020163,1.0067808306,2471910.55642163,0.0
37,2019-12-29,1.0059485027,1.0311987586,1.0035611125,1.0039442025,3967640.1844574,0.0
38,2019-12-30,1.0063560518,1.012390185,1.0013497867,1.0071963782,3338304.65724421,0.0
39,2019-12-31,1.006545149,1.007899654,0.99666487,0.9980452052,3115203.74997373,0.0
40,2020-01-01,0.9978491696,1.0038984601,0.9957802588,1.0002425686,2058557.91958316,0.0
41,2020-01-02,1.0002425686,1.0040469458,0.9946461495,0.9978230601,2925547.28490955,0.0
42,2020-01-03,0.9986782301,1.0045827585,0.991769891,1.0021852771,3578684.47990456,0.0
43,2020-01-04,1.0019960042,1.0126918806,0.9993849569,1.0077953039,3342562.31006696,0.0
44,2020-01-05,1.0079416504,1.0155981184,1.0022728194,1.0076349997,4610513.600806,0.0
45,2020-01-06,1.0061918579,1.0129605093,0.9966494791,1.0030216885,5758883.06365342,0.0
46,2020-01-07,1.0030216885,1.0077226012,0.9942538731,0.9960112457,6468095.50160185,0.0
47,2020-01-08,0.9960112457,1.0123413999,0.9899545831,1.0059684668,8331933.76824248,0.0
48,2020-01-09,1.0056048824,1.0097374048,0.9966442448,1.0051490467,4861968.85994424,0.0
49,2020-01-10,1.0052796156,1.0111150449,0.9977553475,1.0021670631,6095383.03829456,0.0
50,2020-01-11,1.0031237482,1.0085084871,0.9971074631,1.0024464912,3583659.46114729,0.0
51,2020-01-12,1.0010197369,1.0115443912,0.9977473278,1.0016923595,3966034.50911437,0.0
52,2020-01-13,1.0008774368,1.0069354791,0.9979888458,1.0011725608,3752012.90494233,0.0
53,2020-01-14,1.0006771302,1.0182377966,0.9939058886,1.0017365272,8995881.43421624,0.0
54,2020-01-15,1.0029750737,1.0239170826,0.9657180497,0.9957192129,505927648.951615,0.0
55,2020-01-16,0.9939406713,1.0007963967,0.9507622324,0.9848066434,973939833.95734,0.0
56,2020-01-17,0.9851248473,1.0171047505,0.9754783471,1.0030138014,14412819.142662,0.0
57,2020-01-18,1.0019319803,1.009346375,0.9869846276,1.0018271387,16575859.4330406,0.0
